365nm,405nm,473nm,530nm,575nm,621nm,660nm,735nm,770nm,830nm,850nm,890nm,940nm,label
13.66,29.26,79.12,58.14,0.59,26.78,7.71,120.44,20.44,72.9,97.95,10.92,24.92,0
14.46,29.04,80.76,59.06,0.4,28.12,7.71,123.01,21.41,73.91,99.28,11.25,24.86,0
14.44,29.92,79.72,58.6,0.41,26.88,8.49,122.09,21.63,72.39,99.26,10.5,25.18,0
14.19,29.93,80.57,59.45,0.5,28.36,8.73,122.47,20.73,72.43,99.75,10.78,24.46,0
13.79,29.1,78.28,56.37,0.57,27.11,7.7,119.23,21.0,71.63,97.95,11.1,25.51,0
15.71,31.4,84.55,61.48,0.63,29.98,8.96,124.19,21.17,74.13,101.19,11.78,26.77,0
14.14,30.83,82.54,61.02,0.72,28.92,9.29,122.26,21.42,73.16,99.87,11.26,25.17,0
13.8,28.8,78.59,56.39,0.61,26.19,8.06,114.11,20.09,69.16,96.37,10.25,24.53,0
13.16,28.21,76.94,56.26,0.56,26.82,7.41,119.51,21.04,73.23,97.07,11.06,23.57,0
13.58,28.24,76.54,56.41,0.5,25.88,7.89,116.86,20.01,72.8,96.48,11.13,24.39,0
13.77,29.79,80.79,60.53,0.26,28.38,8.7,121.76,21.55,74.38,99.38,10.93,25.38,0
15.23,30.54,83.3,61.55,0.45,29.62,8.28,123.17,22.16,74.58,100.4,11.06,25.47,0
14.11,28.75,79.59,58.37,0.41,27.86,8.42,120.61,21.08,72.9,99.04,11.48,25.14,0
13.23,28.65,77.27,56.33,0.52,27.02,8.15,119.39,20.48,71.78,97.88,11.14,24.71,0
13.74,28.56,80.14,58.05,0.4,27.31,8.43,118.69,21.01,71.23,97.73,11.4,25.19,0
14.08,28.94,78.91,56.13,0.64,27.75,8.76,117.62,20.72,72.13,98.1,11.56,25.33,0
13.53,29.36,80.31,57.58,0.51,27.21,8.22,120.12,20.72,72.19,98.24,11.14,24.98,0
13.73,28.45,77.95,55.64,0.58,27.02,7.5,115.45,19.56,69.24,97.6,11.36,23.57,0
13.88,29.82,81.37,60.22,0.4,28.46,8.32,125.36,22.71,76.39,99.26,11.29,25.39,0
14.32,29.89,80.91,60.56,0.43,28.15,8.25,123.67,22.29,75.72,99.23,11.6,26.25,0
14.25,29.6,79.98,58.21,0.37,28.08,7.93,120.88,21.57,74.32,100.52,10.95,26.14,0
13.09,28.16,77.87,57.34,0.78,27.24,8.07,118.71,21.04,72.99,98.35,11.4,25.05,0
13.66,28.31,76.61,56.85,0.44,26.7,8.83,118.8,21.02,73.05,98.33,11.15,25.61,0
12.6,27.28,76.49,55.81,0.52,26.95,8.02,119.62,19.98,72.01,97.71,10.4,25.01,0
13.73,28.8,78.61,57.88,0.44,27.7,8.34,121.49,20.78,72.36,99.62,11.31,25.12,0
13.94,30.37,82.01,60.44,0.47,29.65,9.0,124.5,21.51,74.9,101.91,12.31,25.61,0
13.99,30.98,83.77,61.82,0.71,30.11,9.06,124.91,21.82,74.48,101.17,11.77,25.15,0
13.9,30.16,80.61,58.35,0.51,28.11,8.16,119.85,20.83,71.6,99.13,10.42,24.72,0
13.79,27.74,77.22,57.1,0.66,27.13,8.08,121.78,21.17,74.45,97.34,11.08,24.84,0
13.23,27.26,76.47,56.51,0.49,27.45,7.7,119.81,20.92,73.5,97.21,10.67,24.76,0
14.47,29.72,79.44,59.56,0.51,29.02,8.63,120.39,21.67,74.64,99.59,11.42,25.12,0
13.91,28.0,78.09,56.48,0.6,26.95,8.19,118.92,21.32,73.6,98.81,11.05,25.51,0
14.28,28.82,79.06,59.18,0.52,29.38,8.62,122.44,22.14,73.64,99.97,10.61,25.37,0
13.79,29.55,80.43,60.0,0.55,29.01,8.24,122.4,21.22,74.3,100.62,10.85,25.59,0
13.56,28.23,77.09,57.1,0.61,28.25,8.57,120.44,21.25,73.42,99.38,11.09,26.06,0
14.16,29.72,81.47,60.04,0.54,29.72,8.14,124.55,21.52,74.19,102.08,11.94,25.32,0
14.36,30.0,79.33,59.65,0.43,28.47,8.37,122.35,21.7,74.15,99.95,11.36,25.78,0
14.33,29.13,78.38,57.95,0.51,27.71,8.8,117.2,20.42,70.88,98.12,10.27,25.05,0
13.67,26.35,73.92,53.92,0.47,25.08,6.98,116.29,20.91,71.97,94.23,9.83,23.56,0
14.09,28.2,76.2,56.06,0.38,26.25,7.4,119.63,21.99,73.87,96.89,10.68,25.0,0
14.35,29.52,81.0,59.47,0.21,28.65,8.67,121.18,22.64,75.41,100.1,10.82,25.4,0
14.45,28.86,79.41,57.48,0.51,27.03,8.26,118.51,21.32,73.43,98.67,11.3,25.08,0
14.49,28.99,77.6,57.26,0.56,27.65,8.73,120.49,21.67,74.7,100.23,11.48,25.55,0
14.07,30.13,82.04,61.98,0.49,29.29,9.16,124.67,22.16,74.93,100.21,11.37,25.95,0
13.82,29.31,79.48,58.3,0.57,28.16,8.81,121.71,21.62,73.66,98.75,10.97,25.85,0
14.43,28.92,78.05,57.63,0.22,27.71,8.49,120.67,20.75,73.86,99.48,11.56,25.53,0
13.31,28.38,75.76,55.7,0.33,26.4,7.76,116.38,19.3,70.0,96.23,10.55,24.22,0
12.84,25.16,71.5,52.94,0.46,24.62,7.08,109.49,18.42,67.36,92.79,10.26,23.29,0
13.64,27.37,74.11,54.5,0.74,25.25,7.32,116.06,20.53,73.58,94.22,9.61,23.99,0
15.14,29.13,79.79,57.82,0.62,27.48,8.4,120.5,21.38,75.28,98.04,10.63,25.38,0
14.13,28.55,79.19,58.15,0.32,28.14,7.7,120.11,21.88,75.41,99.42,10.64,25.44,0
14.17,28.92,80.25,59.16,0.34,28.21,8.24,120.8,21.7,76.01,100.06,11.22,25.7,0
13.34,28.24,76.08,55.69,0.44,26.71,8.0,115.63,20.45,72.36,97.18,10.71,24.81,0
13.9,27.97,77.5,57.21,0.24,27.17,8.02,117.34,21.48,73.31,97.55,10.99,25.74,0
13.49,27.92,77.46,55.68,0.61,26.41,7.73,117.61,20.92,73.23,96.73,10.21,24.65,0
12.59,28.07,74.91,54.76,0.58,26.4,7.09,115.4,21.34,71.31,96.35,11.39,24.3,0
12.21,26.37,73.46,54.14,0.32,25.15,7.33,111.01,18.63,68.51,94.05,9.69,23.44,0
12.26,25.43,69.67,51.18,0.37,24.35,6.33,106.27,18.18,66.49,90.07,9.99,22.78,0
13.67,28.71,75.54,57.36,0.17,25.1,6.9,112.56,19.9,71.95,96.58,10.08,24.15,0
14.75,30.0,79.34,59.1,0.36,27.36,7.22,116.33,21.5,72.45,97.67,11.51,25.01,0
14.12,29.02,78.5,57.91,0.37,26.65,7.4,117.49,21.06,72.44,97.31,11.22,24.8,0
14.99,29.0,79.0,58.11,0.28,26.7,7.74,116.98,20.81,71.3,97.56,12.0,24.59,0
15.83,30.29,81.07,59.83,0.31,27.85,8.6,120.09,21.0,72.96,97.75,12.59,24.86,0
15.81,30.78,84.7,61.67,0.42,27.77,8.53,123.04,21.88,73.95,99.99,11.94,24.55,0
14.85,29.67,80.53,57.55,0.58,26.46,6.83,119.83,20.64,71.22,97.25,11.19,25.34,0
15.33,30.63,82.27,60.38,0.61,28.49,8.06,120.38,20.14,71.61,99.19,11.16,24.2,0
15.65,31.78,84.27,61.83,0.27,28.19,8.76,123.32,21.15,72.86,100.49,11.3,26.45,0
17.5,34.83,90.69,67.51,0.42,31.33,10.29,127.45,22.59,74.25,103.58,12.47,26.16,0
14.91,30.32,80.13,61.13,0.21,26.65,8.53,118.5,21.27,73.24,98.81,10.09,23.35,0
14.64,29.89,78.79,59.69,0.3,26.96,8.42,119.39,21.47,72.18,97.8,10.37,24.41,0
16.15,30.89,80.3,60.84,0.38,28.24,8.2,119.8,21.99,72.99,98.81,11.31,25.38,0
15.4,29.33,78.08,58.3,0.33,26.78,8.31,118.5,21.78,71.08,98.97,11.5,24.88,0
15.24,29.9,78.94,58.63,0.12,26.59,8.07,119.26,19.92,72.09,99.9,11.5,25.31,0
16.57,32.55,85.71,64.06,0.32,29.54,8.22,127.06,21.69,74.05,101.11,11.38,26.31,0
15.88,30.72,80.79,58.46,0.64,27.52,8.34,122.57,21.38,71.71,99.28,11.53,25.19,0
14.6,29.71,79.6,57.43,0.64,26.74,8.29,118.65,20.38,70.2,97.32,10.66,25.53,0
16.5,32.41,86.42,62.99,0.74,29.76,8.67,123.67,21.54,73.27,101.91,11.25,25.77,0
15.11,31.87,83.63,61.03,0.31,27.87,8.84,121.06,20.83,72.24,101.33,11.08,26.47,0
14.31,28.44,78.33,57.15,0.35,25.54,6.33,116.77,21.25,71.87,96.02,9.53,23.48,0
12.47,26.6,72.13,53.47,0.21,23.66,7.19,113.11,20.48,69.9,93.96,9.84,23.08,0
14.65,29.07,78.73,58.79,0.46,26.25,8.12,118.49,20.5,71.0,97.19,10.87,24.45,0
14.53,29.68,80.17,59.11,0.25,27.22,8.09,121.29,20.58,72.99,98.7,11.34,24.79,0
15.17,30.94,82.78,60.69,0.23,28.4,7.66,123.58,20.72,72.62,99.87,11.29,24.99,0
14.92,29.57,80.27,59.15,0.34,26.65,7.63,122.39,20.72,72.32,99.79,11.05,25.75,0
15.91,31.09,82.28,60.8,0.42,29.34,8.96,124.67,21.56,72.5,99.44,11.63,25.42,0
14.61,29.55,80.51,57.61,0.31,26.18,7.92,121.35,20.03,71.19,98.31,11.55,24.36,0
15.26,30.32,83.54,60.79,0.34,28.23,8.2,122.1,20.75,71.4,100.41,11.32,25.71,0
16.53,32.32,87.29,64.06,0.14,29.94,10.17,123.97,21.63,72.59,102.82,11.31,26.66,0
14.36,28.58,78.01,57.71,0.34,25.74,7.44,118.88,21.06,73.05,97.66,10.26,23.91,0
15.09,28.79,80.12,59.86,0.44,27.13,7.6,121.1,20.77,73.22,97.83,10.22,24.46,0
14.54,28.52,77.39,57.11,0.32,26.34,8.32,119.26,21.37,72.28,97.78,10.59,25.0,0
15.76,30.8,82.05,60.77,0.52,28.1,8.34,123.65,21.76,74.07,99.73,11.57,24.81,0
15.44,29.9,79.64,58.82,0.28,27.51,8.25,122.69,21.18,72.99,99.56,11.42,25.78,0
15.24,30.27,79.86,59.09,0.16,27.23,8.11,124.52,21.43,72.87,99.65,11.43,25.73,0
14.44,29.87,81.11,59.17,0.39,28.01,7.82,123.76,21.28,72.34,100.24,11.17,25.99,0
15.7,31.08,83.16,61.15,0.48,28.95,8.73,125.24,21.58,73.54,101.03,11.77,26.14,0
15.09,29.51,81.66,59.07,0.06,27.8,8.18,121.08,20.82,71.57,100.24,10.84,25.44,0
14.58,30.58,80.14,58.37,0.31,26.89,8.27,118.02,20.45,71.1,99.88,10.81,25.26,0
13.17,28.63,76.73,57.42,0.29,25.17,6.88,117.87,20.35,72.06,96.54,9.64,24.16,0
14.15,28.0,76.56,55.97,0.31,25.5,7.41,118.58,20.8,71.24,97.83,10.89,25.39,0
14.6,28.38,79.51,58.25,0.37,26.27,7.53,119.48,20.97,73.13,99.29,11.04,25.09,0
15.05,28.62,80.19,59.63,0.24,27.63,7.95,122.06,21.47,73.16,99.5,10.9,25.48,0
14.68,29.16,80.01,58.86,0.69,26.93,8.02,121.49,21.06,72.7,99.43,10.74,25.37,0
15.52,30.22,81.47,60.06,0.37,27.87,8.35,123.52,21.27,72.16,99.57,11.52,25.18,0
13.97,28.83,78.14,56.29,0.35,26.09,8.43,118.76,21.03,71.57,98.44,11.76,26.38,0
16.13,31.02,84.15,62.67,0.27,30.08,8.92,123.83,22.41,74.21,102.17,11.5,26.58,0
15.36,31.06,84.49,61.42,0.38,28.77,8.27,121.95,21.04,72.2,100.49,11.65,25.47,0
14.34,29.44,78.16,56.33,0.12,25.99,7.45,114.56,19.44,69.93,97.53,10.62,24.96,0
13.53,27.9,77.32,57.13,0.27,25.63,7.08,118.16,21.17,73.06,97.83,10.17,24.5,0
14.1,27.65,77.79,56.28,0.31,25.55,7.83,117.03,21.46,72.77,96.94,10.61,24.38,0
15.08,29.98,80.86,60.06,0.24,27.71,8.37,120.47,22.42,74.24,100.05,10.77,25.4,0
15.63,30.03,82.77,61.68,0.28,28.33,8.33,122.62,21.65,74.34,99.8,11.01,25.47,0
